route_id,origin_city,origin_code,dest_city,dest_code,departure_date,cabin_class,total_flights,min_price_vnd,max_price_vnd,avg_price_vnd,airlines_count,airlines_list,fastest_duration
PQC_SGN_Economy_20260918,Phu Quoc Island,PQC,Ho Chi Minh City,SGN,2026-09-18,Economy,20,631623,2594585,1313523,4,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines, Pacific Airlines",1h 0m
PQC_SGN_PremiumEconomy_20260918,Phu Quoc Island,PQC,Ho Chi Minh City,SGN,2026-09-18,PremiumEconomy,5,1815697,5073961,2874294,1,VietJet Air,1h 0m
PQC_SGN_Business_20260918,Phu Quoc Island,PQC,Ho Chi Minh City,SGN,2026-09-18,Business,5,3164791,11191960,5165303,2,"Sun PhuQuoc Airways, Vietnam Airlines",1h 5m
PQC_DAD_Economy_20260918,Phu Quoc Island,PQC,Da Nang,DAD,2026-09-18,Economy,20,662434,3417408,2425324,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 45m
PQC_DAD_PremiumEconomy_20260918,Phu Quoc Island,PQC,Da Nang,DAD,2026-09-18,PremiumEconomy,2,2514257,2514257,2514257,1,VietJet Air,1h 45m
PQC_DAD_Business_20260918,Phu Quoc Island,PQC,Da Nang,DAD,2026-09-18,Business,2,4409595,6519143,5464369,1,Sun PhuQuoc Airways,1h 45m
PQC_HAN_Economy_20260918,Phu Quoc Island,PQC,Hanoi,HAN,2026-09-18,Economy,20,672660,4738073,2248563,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",2h 5m
PQC_HAN_PremiumEconomy_20260918,Phu Quoc Island,PQC,Hanoi,HAN,2026-09-18,PremiumEconomy,5,2591048,6070436,3286925,1,VietJet Air,2h 5m
PQC_HAN_Business_20260918,Phu Quoc Island,PQC,Hanoi,HAN,2026-09-18,Business,7,5568924,13997245,7615605,2,"Sun PhuQuoc Airways, Vietnam Airlines",2h 5m
PQC_CXR_Economy_20260918,Phu Quoc Island,PQC,Nha Trang,CXR,2026-09-18,Economy,20,772579,4106630,2727647,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 20m
PQC_CXR_Business_20260918,Phu Quoc Island,PQC,Nha Trang,CXR,2026-09-18,Business,1,3505821,3505821,3505821,1,Sun PhuQuoc Airways,1h 20m
PQC_DLI_Economy_20260918,Phu Quoc Island,PQC,Dalat,DLI,2026-09-18,Economy,20,1994439,3442753,2731919,2,"VietJet Air, Vietnam Airlines",12h 45m
PQC_DLI_PremiumEconomy_20260918,Phu Quoc Island,PQC,Dalat,DLI,2026-09-18,PremiumEconomy,4,7107091,11523064,10107079,2,"VietJet Air, Vietnam Airlines",5h 25m
PQC_DLI_Business_20260918,Phu Quoc Island,PQC,Dalat,DLI,2026-09-18,Business,1,10060131,10060131,10060131,1,Vietnam Airlines,5h 25m
PQC_HUI_Economy_20260918,Phu Quoc Island,PQC,Hue,HUI,2026-09-18,Economy,20,3117206,7128299,4523800,2,"VietJet Air, Vietnam Airlines",14h 10m
PQC_HUI_PremiumEconomy_20260918,Phu Quoc Island,PQC,Hue,HUI,2026-09-18,PremiumEconomy,11,7374429,17582273,12296378,2,"VietJet Air, Vietnam Airlines",4h 35m
PQC_HUI_Business_20260918,Phu Quoc Island,PQC,Hue,HUI,2026-09-18,Business,1,10180338,10180338,10180338,1,Vietnam Airlines,7h 30m
HUI_SGN_Economy_20260918,Hue,HUI,Ho Chi Minh City,SGN,2026-09-18,Economy,20,1583125,5098626,3347307,3,"VietJet Air, Vietnam Airlines, Pacific Airlines",1h 25m
HUI_SGN_PremiumEconomy_20260918,Hue,HUI,Ho Chi Minh City,SGN,2026-09-18,PremiumEconomy,6,2813601,5064004,3938802,1,VietJet Air,1h 25m
HUI_SGN_Business_20260918,Hue,HUI,Ho Chi Minh City,SGN,2026-09-18,Business,3,3222227,4079006,3538200,1,Vietnam Airlines,1h 30m
HUI_DAD_Economy_20260918,Hue,HUI,Da Nang,DAD,2026-09-18,Economy,17,4393462,7735767,5763229,1,Vietnam Airlines,23h 50m
HUI_HAN_Economy_20260918,Hue,HUI,Hanoi,HAN,2026-09-18,Economy,19,2396701,10077085,6034750,2,"VietJet Air, Vietnam Airlines",1h 15m
HUI_HAN_PremiumEconomy_20260918,Hue,HUI,Hanoi,HAN,2026-09-18,PremiumEconomy,1,4989332,4989332,4989332,1,VietJet Air,1h 15m
